"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","HEALTHEXP","TOT","USD_CAP","A","2018",4766.071,"P"
"KOR","HEALTHEXP","TOT","USD_CAP","A","2015",2488.016,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2016",2678.23,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2017",2870.253,
"KOR","HEALTHEXP","TOT","USD_CAP","A","2018",3191.554,"P"
"LUX","HEALTHEXP","TOT","USD_CAP","A","2015",4820.829,
"LUX","HEALTHEXP","TOT","USD_CAP","A","2016",4873.862,
"LUX","HEALTHEXP","TOT","USD_CAP","A","2017",4940.672,
"LUX","HEALTHEXP","TOT","USD_CAP","A","2018",5070.172,"E"
"MEX","HEALTHEXP","TOT","USD_CAP","A","2015",1075.433,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2016",1065.875,"B"
"MEX","HEALTHEXP","TOT","USD_CAP","A","2017",1104.972,
"MEX","HEALTHEXP","TOT","USD_CAP","A","2018",1137.964,"E"
"NLD","HEALTHEXP","TOT","USD_CAP","A","2015",4928.366,
"NLD","HEALTHEXP","TOT","USD_CAP","A","2016",5018.406,
"NLD","HEALTHEXP","TOT","USD_CAP","A","2017",5155.043,
"NLD","HEALTHEXP","TOT","USD_CAP","A","2018",5288.436,"P"
"NZL","HEALTHEXP","TOT","USD_CAP","A","2015",3513.375,"P"
"NZL","HEALTHEXP","TOT","USD_CAP","A","2016",3662.218,"P"
"NZL","HEALTHEXP","TOT","USD_CAP","A","2017",3742.228,"P"
"NZL","HEALTHEXP","TOT","USD_CAP","A","2018",3922.635,"P"
"NOR","HEALTHEXP","TOT","USD_CAP","A","2015",5728.329,
"NOR","HEALTHEXP","TOT","USD_CAP","A","2016",5803.702,
"NOR","HEALTHEXP","TOT","USD_CAP","A","2017",6063.613,"P"
"NOR","HEALTHEXP","TOT","USD_CAP","A","2018",6186.92,"P"
"POL","HEALTHEXP","TOT","USD_CAP","A","2015",1802.995,
"POL","HEALTHEXP","TOT","USD_CAP","A","2016",1915.052,
"POL","HEALTHEXP","TOT","USD_CAP","A","2017",2047.73,
"POL","HEALTHEXP","TOT","USD_CAP","A","2018",2056.358,"P"
"PRT","HEALTHEXP","TOT","USD_CAP","A","2015",2540.072,
"PRT","HEALTHEXP","TOT","USD_CAP","A","2016",2667.691,
"PRT","HEALTHEXP","TOT","USD_CAP","A","2017",2758.526,
"PRT","HEALTHEXP","TOT","USD_CAP","A","2018",2861.383,"P"
"SVK","HEALTHEXP","TOT","USD_CAP","A","2015",2059.654,
"SVK","HEALTHEXP","TOT","USD_CAP","A","2016",2187.367,
"SVK","HEALTHEXP","TOT","USD_CAP","A","2017",2187.762,
"SVK","HEALTHEXP","TOT","USD_CAP","A","2018",2290.33,"E"
"ESP","HEALTHEXP","TOT","USD_CAP","A","2015",3024.647,
"ESP","HEALTHEXP","TOT","USD_CAP","A","2016",3105.646,
"ESP","HEALTHEXP","TOT","USD_CAP","A","2017",3224.091,
"ESP","HEALTHEXP","TOT","USD_CAP","A","2018",3322.619,"E"
"SWE","HEALTHEXP","TOT","USD_CAP","A","2015",5027.333,
"SWE","HEALTHEXP","TOT","USD_CAP","A","2016",5048.876,
"SWE","HEALTHEXP","TOT","USD_CAP","A","2017",5264.4,
"SWE","HEALTHEXP","TOT","USD_CAP","A","2018",5447.109,"P"
"CHE","HEALTHEXP","TOT","USD_CAP","A","2015",6760.507,
"CHE","HEALTHEXP","TOT","USD_CAP","A","2016",6942.187,
"CHE","HEALTHEXP","TOT","USD_CAP","A","2017",7146.838,
"CHE","HEALTHEXP","TOT","USD_CAP","A","2018",7316.605,"E"
"TUR","HEALTHEXP","TOT","USD_CAP","A","2015",1040.373,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2016",1126.755,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2017",1185.602,
"TUR","HEALTHEXP","TOT","USD_CAP","A","2018",1226.585,"E"
"GBR","HEALTHEXP","TOT","USD_CAP","A","2015",3703.081,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2016",3833.251,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2017",3942.903,
"GBR","HEALTHEXP","TOT","USD_CAP","A","2018",4069.569,"E"
"USA","HEALTHEXP","TOT","USD_CAP","A","2015",9505.074,
"USA","HEALTHEXP","TOT","USD_CAP","A","2016",9903.651,
"USA","HEALTHEXP","TOT","USD_CAP","A","2017",10206.51,
"USA","HEALTHEXP","TOT","USD_CAP","A","2018",10586.084,"E"
"CHL","HEALTHEXP","TOT","USD_CAP","A","2015",1837.686,
"CHL","HEALTHEXP","TOT","USD_CAP","A","2016",1897.797,
"CHL","HEALTHEXP","TOT","USD_CAP","A","2017",2095.28,
"CHL","HEALTHEXP","TOT","USD_CAP","A","2018",2181.726,"P"
"EST","HEALTHEXP","TOT","USD_CAP","A","2015",1868.235,
"EST","HEALTHEXP","TOT","USD_CAP","A","2016",2012.957,
"EST","HEALTHEXP","TOT","USD_CAP","A","2017",2120.49,
"EST","HEALTHEXP","TOT","USD_CAP","A","2018",2231.406,"P"
"ISR","HEALTHEXP","TOT","USD_CAP","A","2015",2309.13,
"ISR","HEALTHEXP","TOT","USD_CAP","A","2016",2551.4,
"ISR","HEALTHEXP","TOT","USD_CAP","A","2017",2666.404,
"ISR","HEALTHEXP","TOT","USD_CAP","A","2018",2779.656,"E"
"SVN","HEALTHEXP","TOT","USD_CAP","A","2015",2574.155,
"SVN","HEALTHEXP","TOT","USD_CAP","A","2016",2682.92,
"SVN","HEALTHEXP","TOT","USD_CAP","A","2017",2801.233,
"SVN","HEALTHEXP","TOT","USD_CAP","A","2018",2859.446,"P"
"BRA","HEALTHEXP","TOT","USD_CAP","A","2015",1279.359,"E"
"BRA","HEALTHEXP","TOT","USD_CAP","A","2016",1281.617,"E"
"CHN","HEALTHEXP","TOT","USD_CAP","A","2015",640.583,
"CHN","HEALTHEXP","TOT","USD_CAP","A","2016",688.003,
"COL","HEALTHEXP","TOT","USD_CAP","A","2015",951.651,
"COL","HEALTHEXP","TOT","USD_CAP","A","2016",932.062,
"COL","HEALTHEXP","TOT","USD_CAP","A","2017",960.169,
"IND","HEALTHEXP","TOT","USD_CAP","A","2015",194.207,
"IND","HEALTHEXP","TOT","USD_CAP","A","2016",208.772,
"IDN","HEALTHEXP","TOT","USD_CAP","A","2015",278.063,
"IDN","HEALTHEXP","TOT","USD_CAP","A","2016",300.546,
"LVA","HEALTHEXP","TOT","USD_CAP","A","2015",1405.023,
"LVA","HEALTHEXP","TOT","USD_CAP","A","2016",1582.955,
"LVA","HEALTHEXP","TOT","USD_CAP","A","2017",1649.277,
"LVA","HEALTHEXP","TOT","USD_CAP","A","2018",1748.537,"E"
"LTU","HEALTHEXP","TOT","USD_CAP","A","2015",1917.586,
"LTU","HEALTHEXP","TOT","USD_CAP","A","2016",2057.825,
"LTU","HEALTHEXP","TOT","USD_CAP","A","2017",2182.469,
"LTU","HEALTHEXP","TOT","USD_CAP","A","2018",2415.823,"P"
"RUS","HEALTHEXP","TOT","USD_CAP","A","2015",1424.522,
"RUS","HEALTHEXP","TOT","USD_CAP","A","2016",1419.473,
"RUS","HEALTHEXP","TOT","USD_CAP","A","2017",1513.667,
"ZAF","HEALTHEXP","TOT","USD_CAP","A","2015",1075.208,
"ZAF","HEALTHEXP","TOT","USD_CAP","A","2016",1071.555,
"OAVG","HEALTHEXP","TOT","USD_CAP","A","2015",3588.509806,
"OAVG","HEALTHEXP","TOT","USD_CAP","A","2016",3717.656111,
"OAVG","HEALTHEXP","TOT","USD_CAP","A","2017",3856.543722,
"OAVG","HEALTHEXP","TOT","USD_CAP","A","2018",3994.122389,
"CRI","HEALTHEXP","TOT","USD_CAP","A","2015",1254.069,
"CRI","HEALTHEXP","TOT","USD_CAP","A","2016",1284.833,
"BGR","HEALTHEXP","TOT","USD_CAP","A","2015",1576.52,
"BGR","HEALTHEXP","TOT","USD_CAP","A","2016",1713.23,
"BGR","HEALTHEXP","TOT","USD_CAP","A","2017",1782.754,
"HRV","HEALTHEXP","TOT","USD_CAP","A","2015",1506.211,
"HRV","HEALTHEXP","TOT","USD_CAP","A","2016",1638.754,
"HRV","HEALTHEXP","TOT","USD_CAP","A","2017",1715.53,
"CYP","HEALTHEXP","TOT","USD_CAP","A","2015",2066.809,
"CYP","HEALTHEXP","TOT","USD_CAP","A","2016",2187.812,
"CYP","HEALTHEXP","TOT","USD_CAP","A","2017",2276.756,
"MLT","HEALTHEXP","TOT","USD_CAP","A","2015",3216.339,
"MLT","HEALTHEXP","TOT","USD_CAP","A","2016",3398.83,
"MLT","HEALTHEXP","TOT","USD_CAP","A","2017",3714.601,
"ROU","HEALTHEXP","TOT","USD_CAP","A","2015",1087.612,
"ROU","HEALTHEXP","TOT","USD_CAP","A","2016",1229.375,
"ROU","HEALTHEXP","TOT","USD_CAP","A","2017",1399.628,
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",2988.358,"D"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",3131.948,"D"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",3301.249,
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",3467.036,
"AUS","HEALTHEXP","VOLUNTARY","USD_CAP","A","2015",1392.871,"D"
"AUS","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",1433.925,"D"
"AUS","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",1489.263,
"AUS","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",1538.28,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",3662.009,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",3794.019,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",3900.096,
"AUT","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4032.585,"P"
"AUT","HEALTHEXP","VOLUNTARY","USD_CAP","A","2015",1282.761,"D"
"AUT","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",1345.905,"D"
"AUT","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",1370.139,"D"
"AUT","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",1362.521,
"BEL","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",3512.743,
"BEL","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",3598.658,
"BEL","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",3732.702,
"BEL","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",3819.944,"E"
"BEL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2015",1013.854,
"BEL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",1067.567,
"BEL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",1099.563,
"BEL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",1123.593,"E"
"CAN","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",3223.45,
"CAN","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",3291.006,
"CAN","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",3360.245,"P"
"CAN","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",3465.984,"P"
"CAN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2015",1327.381,
"CAN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",1407.01,
"CAN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",1451.545,"P"
"CAN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",1508.346,"P"
"CZE","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",2096.761,
"CZE","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",2154.124,
"CZE","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",2340.011,
"CZE","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",2525.236,"E"
"CZE","HEALTHEXP","VOLUNTARY","USD_CAP","A","2015",448.75,
"CZE","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",473.574,
"CZE","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",510.395,
"CZE","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",532.379,"E"
"DNK","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",3935.14,
"DNK","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",4016.23,
"DNK","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",4221.805,
"DNK","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4472.212,"E"
"DNK","HEALTHEXP","VOLUNTARY","USD_CAP","A","2015",739.356,
"DNK","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",758.039,
"DNK","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",802.717,
"DNK","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",826.609,"E"
"FIN","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",3036.868,
"FIN","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",3017.289,
"FIN","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",3101.365,
"FIN","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",3184.497,"P"
"FIN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2015",953.774,
"FIN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",1006.154,
"FIN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",1025.352,
"FIN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",1043.715,"P"
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",3585.515,
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",4023.576,
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",4111.199,
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4141.169,"E"
"FRA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2015",1090.289,
"FRA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",820.441,
"FRA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",819.576,
"FRA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",823.54,"E"
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",4448.609,
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",4674.648,
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",4933.267,
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",5056.076,"P"
"DEU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2015",842.672,
"DEU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",875.511,
"DEU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",914.393,
"DEU","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",930.371,"P"
"GRC","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",1217.495,
"GRC","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",1341.975,
"GRC","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",1342.589,
"GRC","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1348.837,"E"
"GRC","HEALTHEXP","VOLUNTARY","USD_CAP","A","2015",848.619,
"GRC","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",850.403,
"GRC","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",860.557,
"GRC","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",885.361,"E"
"HUN","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",1289.946,
"HUN","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",1337.651,
"HUN","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",1381.611,
"HUN","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1438.794,"P"
"HUN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2015",601.782,
"HUN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",627.367,
"HUN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",614.838,
"HUN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",607.983,"P"
"ISL","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",3018.919,
"ISL","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",3192.207,
"ISL","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",3399.06,
"ISL","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",3570.125,"E"
"ISL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2015",716.327,
"ISL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",724.127,
"ISL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",754.813,
"ISL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",778.969,"E"
"IRL","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",3098.352,
"IRL","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",3240.456,
"IRL","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",3394.31,
"IRL","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",3648.946,"E"
"IRL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2015",1203.498,
"IRL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",1230.292,
"IRL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",1236.807,
"IRL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",1266.548,"E"
"ITA","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",2334.192,
"ITA","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",2436.046,
"ITA","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",2495.008,
"ITA","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",2544.577,"P"
"ITA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2015",795.078,
"ITA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",828.323,
"ITA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",881.306,
"ITA","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",883.23,"P"
"JPN","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",3797.912,
"JPN","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",3792.469,
"JPN","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",3893.113,"P"
"JPN","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4007.751,"P"
"JPN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2015",718.95,
"JPN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",720.376,
"JPN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",736.446,"P"
"JPN","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",758.32,"P"
"KOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",1464.584,
"KOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",1582.854,
"KOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",1689.708,
"KOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1907.552,"P"
"KOR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2015",1023.432,
"KOR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",1095.376,
"KOR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",1180.545,
"KOR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",1284.002,"P"
"LUX","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",4046.489,
"LUX","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",4094.733,
"LUX","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",4151.46,
"LUX","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4256.472,"E"
"LUX","HEALTHEXP","VOLUNTARY","USD_CAP","A","2015",709.361,
"LUX","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",716.23,
"LUX","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",722.009,
"LUX","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",748.039,"E"
"MEX","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",561.039,
"MEX","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",557.772,"B"
"MEX","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",569.198,
"MEX","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",585.802,"E"
"MEX","HEALTHEXP","VOLUNTARY","USD_CAP","A","2015",514.394,
"MEX","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",508.103,"B"
"MEX","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",535.774,
"MEX","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",552.162,"E"
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",4010.735,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",4073.387,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",4203.787,
"NLD","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4342.664,"P"
"NLD","HEALTHEXP","VOLUNTARY","USD_CAP","A","2015",917.631,
"NLD","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",945.02,
"NLD","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",951.257,
"NLD","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",945.773,
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",2775.193,"P"
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",2880.479,"P"
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",2940.913,"P"
"NZL","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",3107.65,"P"
"NZL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2015",738.182,"P"
"NZL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",781.739,"P"
"NZL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",801.315,"P"
"NZL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",814.985,"P"
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",4898.558,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",4955.169,
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",5182.756,"P"
"NOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",5288.751,"P"
"NOR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2015",829.772,
"NOR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",848.533,
"NOR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",880.858,"P"
"NOR","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",898.187,"P"
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",1261.889,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",1337.64,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",1423.147,
"POL","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1475.946,"P"
"POL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2015",541.106,
"POL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2016",577.412,
"POL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2017",624.582,
"POL","HEALTHEXP","VOLUNTARY","USD_CAP","A","2018",580.412,"P"
